norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
900,CALSPHERE 1,PAYLOAD,Other,976.1993113105955,Low LEO,LEO-Polar,LOW,90.2193,0.00264595,2024,0,<1yr,13.7653587,2026-04-05 10:02:12.861024,celestrak,2026-04-05,US,2026-04-05
902,CALSPHERE 2,PAYLOAD,Other,1061.6281801919622,Mid LEO,LEO-Polar,LOW,90.2311,0.00206258,2024,0,<1yr,13.52894464,2026-04-05 11:46:43.066272,celestrak,2026-04-05,US,2026-04-05
1361,LCS 1,PAYLOAD,Other,2787.8715518575,High LEO,MEO,LOW,32.1468,0.00133309,2024,0,<1yr,9.89309945,2026-04-05 08:48:04.144896,celestrak,2026-04-05,US,2026-04-05
1512,TEMPSAT 1,PAYLOAD,Other,1133.2494001956647,Mid LEO,LEO-Polar,HIGH,89.9987,0.00715701,2024,0,<1yr,13.33590849,2026-04-05 13:45:53.192448,celestrak,2026-04-05,US,2026-04-05
1520,CALSPHERE 4A,PAYLOAD,Other,1123.2259397334965,Mid LEO,LEO-Polar,HIGH,89.8982,0.00679505,2024,0,<1yr,13.36264695,2026-04-05 12:57:33.471072,celestrak,2026-04-05,US,2026-04-05
2826,OPS 5712 (P/L 160),PAYLOAD,Other,639.5490693365373,Low LEO,LEO-Inclined,MEDIUM,69.9177,0.00025971,2024,0,<1yr,14.76766586,2026-04-05 14:16:21.374112,celestrak,2026-04-05,US,2026-04-05
2866,LES-5,PAYLOAD,Other,33401.12384979524,MEO,MEO,LOW,2.4553,0.00550773,2024,0,<1yr,1.09425288,2026-04-05 13:32:21.664032,celestrak,2026-04-05,US,2026-04-05
2872,SURCAL 159,PAYLOAD,Other,895.2344631761353,Low LEO,LEO-Inclined,MEDIUM,69.9738,0.00086968,2024,0,<1yr,13.99584453,2026-04-05 13:07:27.992064,celestrak,2026-04-05,US,2026-04-05
2874,OPS 5712 (P/L 153),PAYLOAD,Other,904.836120611214,Low LEO,LEO-Inclined,LOW,69.9722,0.0009903,2024,0,<1yr,13.96817609,2026-04-05 13:59:20.807808,celestrak,2026-04-05,US,2026-04-05
5204,OPS 3811 (DSP 2),PAYLOAD,Other,36389.12046624916,Beyond GEO,HEO,LOW,0.2501,0.00228482,2024,0,<1yr,0.98160251,2026-04-05 12:55:21.141696,celestrak,2026-04-05,US,2026-04-05
5398,RIGIDSPHERE 2 (LCS 4),PAYLOAD,Other,765.8211565380598,Low LEO,LEO-Polar,MEDIUM,87.6277,0.00619884,2024,0,<1yr,14.37786524,2026-04-05 12:51:40.761216,celestrak,2026-04-05,US,2026-04-05
7530,OSCAR 7 (AO-7),PAYLOAD,Other,1449.069691049458,Mid LEO,LEO-Polar,LOW,101.9951,0.00118687,2024,0,<1yr,12.53696919,2026-04-05 14:49:35.948352,celestrak,2026-04-05,US,2026-04-05
7646,STARLETTE,PAYLOAD,Other,955.5658310190456,Low LEO,LEO-Inclined,LOW,49.8256,0.02056462,2024,0,<1yr,13.8234931,2026-04-05 13:57:24.353568,celestrak,2026-04-05,FR,2026-04-05
8820,LAGEOS 1,PAYLOAD,Other,5893.0479892411795,High LEO,MEO,LOW,109.8109,0.00446741,2024,0,<1yr,6.38664839,2026-04-05 02:41:01.357728,celestrak,2026-04-05,US,2026-04-05
13086,OPS 8701 (DSP 10),PAYLOAD,Other,36380.49717679029,Beyond GEO,HEO,LOW,9.4386,0.0004305,2024,0,<1yr,0.98189947,2026-04-05 05:13:14.251584,celestrak,2026-04-05,US,2026-04-05
14129,PHASE 3B (AO-10),PAYLOAD,Other,19723.71036343377,MEO,MEO,MEDIUM,25.9038,0.60369943,2024,0,<1yr,2.05871341,2026-04-05 12:41:28.214592,celestrak,2026-04-05,GER,2026-04-05
14781,UOSAT 2 (UO-11),PAYLOAD,Other,596.0389681365086,Low LEO,LEO-Polar,HIGH,97.7997,0.00091392,2024,0,<1yr,14.90607872,2026-04-05 09:23:54.621024,celestrak,2026-04-05,UK,2026-04-05
16908,AJISAI (EGS),PAYLOAD,Other,1487.518558875954,Mid LEO,LEO-Inclined,LOW,50.0122,0.00113719,2024,0,<1yr,12.44515687,2026-04-05 14:49:20.758368,celestrak,2026-04-05,JPN,2026-04-05
19548,TDRS 3,PAYLOAD,Other,35787.84474672459,GEO,GEO-Inclined,HIGH,12.6573,0.00420964,2024,0,<1yr,1.00267327,2026-04-05 12:30:48.809664,celestrak,2026-04-05,US,2026-04-05
19751,COSMOS 1989 (ETALON 1),PAYLOAD,Other,19125.572086296303,MEO,MEO,MEDIUM,64.9042,0.00234015,2024,1,<1yr,2.13156089,2026-04-04 05:25:46.951104,celestrak,2026-04-05,CIS,2026-04-05
20026,COSMOS 2024 (ETALON 2),PAYLOAD,Other,19121.69606661538,MEO,MEO,MEDIUM,64.9786,0.00204903,2024,0,<1yr,2.13204691,2026-04-05 02:01:35.592672,celestrak,2026-04-05,CIS,2026-04-05
20253,FLTSATCOM 8 (USA 46),PAYLOAD,Other,35786.82343682356,GEO,GEO-Inclined,HIGH,12.4419,0.00079369,2024,0,<1yr,1.0027097,2026-04-05 13:58:26.783616,celestrak,2026-04-05,US,2026-04-05
20442,LUSAT (LO-19),PAYLOAD,Other,778.0586050486845,Low LEO,LEO-Polar,MEDIUM,98.8911,0.00125412,2024,0,<1yr,14.34100072,2026-04-05 13:15:14.380992,celestrak,2026-04-05,ARGN,2026-04-05
20580,HST,PAYLOAD,Other,475.98456044982686,Very Low LEO,LEO-Equatorial,HIGH,28.4724,0.00022485,2024,0,<1yr,15.29942321,2026-04-05 15:01:46.096608,celestrak,2026-04-05,US,2026-04-05
20776,SKYNET 4C,PAYLOAD,Other,35785.12970699589,GEO,MEO,HIGH,13.3636,0.00034699,2024,1,<1yr,1.00277012,2026-04-04 19:47:30.899616,celestrak,2026-04-05,UK,2026-04-05
20929,USA 65 (DSP 15),PAYLOAD,Other,36320.73383424246,Beyond GEO,HEO,LOW,14.0487,0.00044183,2024,0,<1yr,0.98396166,2026-04-05 14:24:57.407616,celestrak,2026-04-05,US,2026-04-05
21639,TDRS 5,PAYLOAD,Other,35784.35578346775,GEO,MEO,HIGH,14.0808,0.0008517,2024,0,<1yr,1.00279773,2026-04-05 10:25:38.525088,celestrak,2026-04-05,US,2026-04-05
21805,USA 75 (DSP 16),PAYLOAD,Other,36093.60826981972,Beyond GEO,HEO,LOW,14.0433,0.00040328,2024,0,<1yr,0.99186508,2026-04-05 03:55:38.461440,celestrak,2026-04-05,US,2026-04-05
22195,LAGEOS 2,PAYLOAD,Other,5783.752236738887,High LEO,MEO,LOW,52.6746,0.0137714,2024,16,<1yr,6.47293426,2026-03-20 02:10:27.910848,celestrak,2026-04-05,IT,2026-04-05
22314,TDRS 6,PAYLOAD,Other,35787.88792176937,GEO,GEO-Inclined,HIGH,14.182,0.0005106,2024,0,<1yr,1.00267173,2026-04-05 05:42:45.372096,celestrak,2026-04-05,US,2026-04-05
22490,SCD 1,PAYLOAD,Other,738.4575270916739,Low LEO,LEO-Equatorial,MEDIUM,24.9698,0.00421081,2024,0,<1yr,14.46087022,2026-04-05 15:09:10.282464,celestrak,2026-04-05,BRAZ,2026-04-05
22787,UFO 2 (USA 95),PAYLOAD,Other,35787.63896588701,GEO,GEO-Inclined,HIGH,11.8672,0.00090335,2024,0,<1yr,1.00268061,2026-04-04 21:28:46.843104,celestrak,2026-04-05,US,2026-04-05
22824,STELLA,PAYLOAD,Other,800.2051233317952,Low LEO,LEO-Polar,MEDIUM,98.7787,0.00074878,2024,0,<1yr,14.27468496,2026-04-05 14:08:56.463360,celestrak,2026-04-05,FR,2026-04-05
22825,EYESAT A (AO-27),PAYLOAD,Other,788.6485375637894,Low LEO,LEO-Polar,MEDIUM,98.693,0.00075324,2024,0,<1yr,14.3092262,2026-04-05 10:02:27.399552,celestrak,2026-04-05,US,2026-04-05
22826,ITAMSAT (IO-26),PAYLOAD,Other,787.2300821314311,Low LEO,LEO-Polar,MEDIUM,98.6878,0.00078277,2024,0,<1yr,14.31347539,2026-04-05 10:03:57.349728,celestrak,2026-04-05,IT,2026-04-05
22988,USA 99 (MILSTAR-1 1),PAYLOAD,Other,35786.32247650719,GEO,GEO-Inclined,HIGH,17.51,0.00039358,2024,0,<1yr,1.00272757,2026-04-05 07:51:38.656800,celestrak,2026-04-05,US,2026-04-05
23439,RADIO ROSTO (RS15),PAYLOAD,Other,2022.3143207409857,High LEO,MEO,LOW,64.817,0.01536972,2024,0,<1yr,11.27583813,2026-04-05 13:38:22.363296,celestrak,2026-04-05,CIS,2026-04-05
23467,UFO 4 (USA 108),PAYLOAD,Other,35787.22068342155,GEO,GEO-Inclined,HIGH,9.6978,0.00034661,2024,0,<1yr,1.00269553,2026-04-05 13:10:38.867808,celestrak,2026-04-05,US,2026-04-05
23613,TDRS 7,PAYLOAD,Other,35787.64905862159,GEO,GEO-Inclined,HIGH,13.4077,0.00093679,2024,0,<1yr,1.00268025,2026-04-05 14:11:05.678880,celestrak,2026-04-05,US,2026-04-05
