Machine Module,SMS3032XP,3.2.2.6.2R10
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+0.000000000E+00
Attenuation,20.000000,Auto
Sweep Time,44032.000000,Auto
Start Frequency,+1.000000000E+08
Stop Frequency,+3.000000000E+08
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Fixed,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,198133333.33333334,,,,,,,
Marker Ampt,-62.26877081,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
100000000,-62.45
100266667,-61.96
100533333,-62.25
100800000,-63.87
101066667,-62.34
101333333,-60.71
101600000,-60.21
101866667,-61.34
102133333,-64.40
102400000,-64.55
102666667,-63.83
102933333,-62.10
103200000,-66.89
103466667,-65.19
103733333,-62.12
104000000,-64.23
104266667,-61.92
104533333,-62.12
104800000,-64.77
105066667,-63.14
105333333,-58.80
105600000,-57.80
105866667,-61.88
106133333,-62.29
106400000,-61.30
106666667,-61.49
106933333,-60.78
107200000,-64.48
107466667,-64.12
107733333,-61.83
108000000,-60.50
108266667,-62.07
108533333,-68.44
108800000,-64.82
109066667,-60.66
109333333,-58.22
109600000,-65.84
109866667,-63.08
110133333,-67.26
110400000,-63.26
110666667,-62.08
110933333,-62.70
111200000,-63.11
111466667,-59.27
111733333,-57.94
112000000,-60.01
112266667,-59.94
112533333,-60.66
112800000,-59.67
113066667,-60.53
113333333,-62.83
113600000,-66.59
113866667,-66.84
114133333,-60.77
114400000,-61.06
114666667,-62.87
114933333,-61.45
115200000,-60.69
